"Contributions without punishment (Figure 3 in Herrmann, Thoni, and Gachter (2008))",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Period,Copenhagen,Dnipropetrovs’k,Minsk,St. Gallen,Muscat,Samara,Zurich,Boston,Bonn,Chengdu,Seoul,Riyadh,Nottingham,Athens,Istanbul,Melbourne
1,14.102941176470589,10.954545272727273,12.7941,13.6875,9.53846,10.8421,11.0833,12.9643,10.85,10,8.249999904761905,7.958333416666666,10.928571428571429,8.136363818181819,8.9375,8.225
2,14.132352941176471,12.636363454545455,12.3382,12.80206675,10.9808,11.5,12.1667,12.7143,10.8,9.9625,9.142857142857142,7.729166916666666,10.535714285714286,6.2727272727272725,9.015625,7.325
3,13.720588235294118,12.068181636363636,12.5882,12.354183500000001,11.5192,11.7237,10.7813,12.7143,11.516666666666666,10.225,9.892857238095237,7.1875,9.125000142857143,6.409090636363637,8.4375,6.25
4,12.897058823529411,11.181818,12.2647,10.60418325,10.3077,11.3092,10.6354,11.3571,10.7,10.0125,9.666666666666666,7.875000166666666,8.982142857142858,6.3181815454545465,6.921875125,5.975
5,12.338235294117647,11.272727454545453,11.8235,10.989583249999999,9.82692,10.3355,8.52083,11.0357,10.7,9.1,9.011904571428571,7.895833416666666,8.0714285,6.727272454545456,5.812500125,5.425
6,11.676470588235293,10.477272545454547,9.88235,10.70831675,10.2885,10.2039,7.10417,10.1429,9.416666666666666,7.7,8.559523904761905,7.79166675,5.410714357142857,6.318181727272727,4.546875125,5.05
7,10.779411764705882,9.454545272727273,9.88235,10.14581675,10.1923,8.7171,7.41667,9.05357,7.683333333333333,6.6375,7.892857238095238,8.145833583333333,5.339285642857143,5.863636181818182,3.9218748750000003,4.275
8,10.632352941176471,10.340909272727272,8.42647,9.510415,10.1154,8.23684,7.3125,6.17857,8.566666666666666,6.0125,7.130952285714286,8.29166675,4.660714214285714,6.250000090909091,3.1562501249999997,3.2
9,9.764705882352942,9.022727272727273,8.26471,7.37499825,9.55769,8.17763,6.21875,4.16071,7.4,4.5125,5.857142761904762,7.541666666666667,4.053571499999999,5.909090636363637,2.1718748750000003,2.3
10,5.294117647058823,8.681818181818182,6.94118,2.97916825,7.51923,5.55921,3.71875,2.94643,4,2.4,3.8095237142857146,5.875000249999999,2.392857142857143,5.3636361818181815,1.359375,1.3
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Contributions with punishment (Figure 2A in Herrmann, Thoni, and Gachter (2008))",,,,,,,,,,,,,,,,
Period,Copenhagen,Dnipropetrovs’k,Minsk,St. Gallen,Muscat,Samara,Zurich,Boston,Bonn,Chengdu,Seoul,Riyadh,Nottingham,Athens,Istanbul,Melbourne
1,15.411765098571777,9.477272987365723,11.75,15.041666984558105,9.211538314819336,10.763157844543457,13.22826099395752,16.01785659790039,12.050000190734863,9.895833015441895,9.690476417541504,6.145833492279053,11.321428298950195,5.818181991577148,6.546875,7.849999904632568
2,16.97058868408203,9.909090995788574,13.235294342041016,16.71875,10.307692527770996,11.302631378173828,15.02173900604248,17.821428298950195,13.466666221618652,11.0625,12.107142448425293,6.770833492279053,13.892857551574707,5.636363506317139,6.578125,10.475000381469727
3,17.735294342041016,11.840909004211426,12.897058486938477,17.57291603088379,10.057692527770996,11.743420600891113,15.77173900604248,18.553571701049805,14.083333015441895,12.3125,13.273809432983398,6.708333492279053,14.696428298950195,5.863636493682861,6.71875,12.800000190734863
4,18.16176414489746,11.454545021057129,13.382352828979492,17.42708396911621,10,11.763157844543457,16.2608699798584,18.875,14.033333778381348,13.375,14.107142448425293,7.9375,14.410714149475098,6.25,6.453125,13.574999809265137
5,18.367647171020508,12.681818008422852,13.970588684082031,17.64583396911621,9.576923370361328,11.190789222717285,16.35869598388672,18.23214340209961,15.416666984558105,14.354166984558105,14.392857551574707,7.604166507720947,15.267857551574707,6.2272725105285645,6.96875,15.050000190734863
6,18.691177368164062,11.75,13.014705657958984,17.34375,9.90384578704834,12.184210777282715,16.619565963745117,18.553571701049805,14.416666984558105,15.427083015441895,15.285714149475098,7.604166507720947,16.446428298950195,5.863636493682861,7.15625,15.774999618530273
7,18.735294342041016,11.227272987365723,13.176470756530762,16.79166603088379,10.269230842590332,12.151315689086914,17.19565200805664,18.678571701049805,15.216666221618652,15.6875,16.047618865966797,6.25,16.375,5.636363506317139,7.53125,16.225000381469727
8,18.323530197143555,10.681818008422852,13.691176414489746,16.75,10.84615421295166,12.184210777282715,17.032608032226562,18.053571701049805,15.5,15.979166984558105,16.809524536132812,6.375,16.73214340209961,4.840909004211426,7.84375,16.524999618530273
9,18.073530197143555,9.704545021057129,12.411765098571777,16.88541603088379,9.711538314819336,12.388157844543457,17.565217971801758,18.178571701049805,16,15.854166984558105,17.285715103149414,7.125,16.303571701049805,4.681818008422852,7.84375,17.100000381469727
10,17.014705657958984,10.068181991577148,11.70588207244873,15.15625,9.09615421295166,11.572368621826172,16.45652198791504,16.839284896850586,14.683333396911621,14.8125,17.511905670166016,6.625,14.696428298950195,6.204545497894287,7.625,15.850000381469727
